City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talcahuano,-36.7167,-73.1167,10.82,93,75,1.54,CL,1690325232
1,poyarkovo,49.6,128.6833,22.03,83,90,2.95,RU,1690325394
2,waitangi,-43.9535,-176.5597,9.34,98,100,0.89,NZ,1690325395
3,la tuque,47.4334,-72.7824,24.14,46,86,2.57,CA,1690325395
4,port-aux-francais,-49.35,70.2167,3.66,81,97,9.09,TF,1690325395
5,minas de marcona,-15.2119,-75.1103,13.3,82,13,5.8,PE,1690325395
6,oriximina,-1.7656,-55.8661,28.09,48,50,1.33,BR,1690325133
7,albany,42.6001,-73.9662,25.36,81,96,0.45,US,1690325396
8,olonkinbyen,70.9221,-8.7187,5.49,84,100,3.83,SJ,1690325396
9,badger,64.8,-147.5333,27.3,54,75,5.14,US,1690325131
10,kodiak,57.79,-152.4072,15.73,72,0,3.09,US,1690325396
11,edinburgh of the seven seas,-37.0676,-12.3116,11.48,63,100,7.94,SH,1690325113
12,kill devil hills,36.0307,-75.676,29.99,72,0,2.57,US,1690325348
13,iqaluit,63.7506,-68.5145,6.85,81,100,2.06,CA,1690325397
14,yellowknife,62.456,-114.3525,25.31,22,75,10.29,CA,1690325398
15,aasiaat,68.7098,-52.8699,3.61,92,86,2.37,GL,1690325398
16,thompson,55.7435,-97.8558,23.09,40,40,4.63,CA,1690325290
17,mthatha,-31.5889,28.7844,6.31,93,100,1.54,ZA,1690325398
18,sibolga,1.7427,98.7792,24.35,79,100,1.6,ID,1690325315
19,myeik,12.4333,98.6,25.62,90,98,3.19,MM,1690325399
20,puerto ayora,-0.7393,-90.3518,29.98,90,51,3.58,EC,1690325399
21,ushuaia,-54.8,-68.3,0.81,60,20,3.09,AR,1690325400
22,blackmans bay,-43.0167,147.3167,13.16,68,100,5.26,AU,1690325298
23,erenhot,43.6475,111.9767,23.4,56,95,8.29,CN,1690325401
24,mont-dore,-22.2833,166.5833,21.67,99,85,6.39,NC,1690325401
25,kambove,-10.8764,26.5969,15.94,43,20,2.0,CD,1690325402
26,hasaki,35.7333,140.8333,29.22,80,79,3.54,JP,1690325403
27,grytviken,-54.2811,-36.5092,-3.33,81,80,4.74,GS,1690325409
28,cabo san lucas,22.8909,-109.9124,34.78,51,75,3.6,MX,1690325187
29,fale old settlement,-9.3852,-171.2468,28.61,76,8,8.52,TK,1690325412
30,muisne,0.6,-80.0333,25.56,84,93,3.64,EC,1690325413
31,carnarvon,-24.8667,113.6333,16.65,57,34,6.76,AU,1690325417
32,walvis bay,-22.9575,14.5053,11.72,93,66,1.54,NA,1690325347
33,ilulissat,69.2167,-51.1,3.01,100,100,2.06,GL,1690325132
34,heunghae,36.1125,129.3522,26.67,78,11,1.76,KR,1690325419
